dac_id	dac_code	measured_voltage	voltage_std
CS2	20400	0.7766568005000002	2.084865703135914e-07
CS2	20500	0.7804651702	3.259054464168246e-07
CS2	20600	0.7842691775999999	3.3256614379607e-07
CS2	20700	0.7880766746	7.975060125221324e-07
CS2	20800	0.7918927417	6.073753452251596e-07
CS2	20900	0.7956991124	1.0303445249142533e-06
CS2	21000	0.79950139	1.183540028905913e-06
CS2	21100	0.803307169	1.3511791887172692e-06
CS2	21200	0.8071126187	7.987070864671422e-07
CS2	21300	0.8109220303000001	6.116883275017176e-07
CS2	21400	0.8147261512	1.0345150361396776e-06
CS2	21500	0.8185301193000001	1.0808425463410591e-06
CS2	21600	0.8223457622	1.2490569882961973e-06
CS2	21700	0.826152158	1.3067904958151496e-06
CS2	21800	0.8299607068	1.727086899970275e-06
CS2	21900	0.8337673628000001	2.0594551123891885e-06
CS2	22000	0.8375709474999999	2.102709739841708e-06
CS2	22100	0.8413751617999999	1.5573366880546196e-06
CS2	22200	0.8451778728000001	1.4813779936328715e-06
CS2	22300	0.8489888133999999	7.472132493600404e-07
CS2	22400	0.8528012677	5.083211681680332e-07
CS2	22500	0.8566063325	1.443822444074421e-06
CS2	22600	0.860412066	9.763311938189422e-07
CS2	22700	0.8642184035	9.953504156980899e-07
CS2	22800	0.8680270546000001	9.624048212654638e-07
CS2	22900	0.8718313597	5.711759886440069e-07
CS2	23000	0.8756367933	8.015109543833562e-07
CS2	23100	0.87944054	7.345497941037112e-07
CS2	23200	0.8832527936	8.867658315476117e-07
CS2	23300	0.8870631351	1.0019485465972658e-06
CS2	23400	0.8908668346999999	7.042536545844778e-07
CS2	23500	0.8946734347000002	3.642070976862209e-07
CS2	23600	0.8984811067999999	9.653947172163647e-07
CS2	23700	0.9022876674000001	6.290687084819258e-07
CS2	23800	0.9060903444000001	2.4410866430637304e-07
CS2	23900	0.9099006131000001	1.960951044786285e-07
CS2	24000	0.9137137623999999	2.6317910250220417e-07
CS2	24100	0.9175177421	3.2184109433143e-07
CS2	24200	0.9213240318	3.3842925405800353e-07
CS2	24300	0.9251280793000001	6.521033737208931e-07
CS2	24400	0.9289372205000002	2.99030851253993e-07
CS2	24500	0.9327431279	2.9278744850894543e-07
CS2	24600	0.936551568	3.1206025058658446e-07
CS2	24700	0.9403558587	4.456844287149114e-07
CS2	24800	0.9441683662999999	3.0216553411600165e-07
CS2	24900	0.9479787619	4.5852163526301597e-07
CS2	25000	0.9517827876	3.498531692117705e-07
CS2	25100	0.9555861078	4.0842448505234994e-07
CS2	25200	0.9593911094	4.353876892869002e-07
CS2	25300	0.9631979135	5.447074903110338e-07
CS2	25400	0.9670064440999999	4.0160563990279224e-07
CS2	25500	0.9708127702999999	4.4373844773259843e-07
CS2	25600	0.9746247196000001	4.126536562321222e-07
CS2	25700	0.9784303878999999	3.3206759854133447e-07
CS2	25800	0.9822364465	3.144214528364668e-07
CS2	25900	0.9860460938	3.025900857503289e-07
CS2	26000	0.9898519370000001	4.830173909991284e-07
CS2	26100	0.9936559453000001	3.6791549301745003e-07
CS2	26200	0.9974603570999999	4.0307454646488974e-07
CS2	26300	1.001265265	7.464080652986052e-07
CS2	26400	1.005081989	7.673780033409705e-07
CS2	26500	1.0088874469999998	4.837364984848843e-07
CS2	26600	1.0126912999999997	3.591935411171928e-07
CS2	26700	1.016498936	4.683631070058031e-07
CS2	26800	1.0203033989999999	6.175022267013087e-07
CS2	26900	1.0241145360000001	5.224212859167602e-07
CS2	27000	1.027918274	2.829911659223298e-07
CS2	27100	1.031723355	3.69844561947087e-07
CS2	27200	1.0355341869999999	2.8252610496957535e-07
CS2	27300	1.0393399170000002	3.910255746056809e-07
CS2	27400	1.0431482250000002	2.7655921607101217e-07
CS2	27500	1.046953376	4.3561909967180543e-07
CS2	27600	1.0507590050000002	2.2433234271015088e-07
